address,raw_name,symbol,module,body_bytes,callees_real,callees_stub,callers,globals,cop2,loops,branches,float_ops,leaf_hint,leaf_detail,score
0x00429880,FUN_00429880,,,214,0,0,1,0,1,0,0,0,other,simd/vu0,10.28
0x004298e0,FUN_004298e0,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x00429940,FUN_00429940,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x004299a0,FUN_004299a0,,,308,0,0,3,0,1,0,0,0,other,simd/vu0,18.16
0x00429b08,FUN_00429b08,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x00429b80,FUN_00429b80,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x00429c60,FUN_00429c60,,,214,0,0,3,0,1,0,0,0,other,simd/vu0,16.28
0x00429de0,FUN_00429de0,,,298,0,0,0,0,1,0,0,0,other,simd/vu0,8.96
0x00429ef0,FUN_00429ef0,,,144,1,0,1,0,0,0,0,0,thunk,wraps FUN_0042a5e8,9.88
0x00429f10,FUN_00429f10,,,144,1,0,0,0,0,0,0,0,thunk,wraps FUN_00429ef0,6.88
0x0042a4e0,FUN_0042a4e0,script_step_b,game/script,1398,2,0,0,0,1,0,7,0,,,38.96
0x0042a5e8,FUN_0042a5e8,,,243,0,0,2,0,0,0,0,0,struct_op,field assignment/read mix,10.86
0x0042a680,FUN_0042a680,script_step_d,game/script,1170,2,0,2,0,0,0,5,0,,,37.4
0x0042a7f8,FUN_0042a7f8,,,144,1,0,0,0,0,0,0,0,thunk,wraps FUN_004299a0,6.88
0x0042a818,FUN_0042a818,script_step,game/script,1907,4,0,1,0,1,0,13,0,,,60.14
0x0042a980,FUN_0042a980,,,365,1,0,0,0,1,0,1,0,other,simd/vu0,14.3
0x0042ab60,FUN_0042ab60,,,242,1,0,0,0,1,0,0,0,other,simd/vu0,11.84
0x0042ac48,FUN_0042ac48,script_abort,game/script,464,1,0,1,0,1,0,1,0,,,19.28
0x0042acb0,FUN_0042acb0,,,144,1,0,0,0,0,0,0,0,thunk,wraps FUN_00429708,6.88
0x0042acd0,FUN_0042acd0,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x0042ae68,FUN_0042ae68,,,304,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,6.08
0x0042ba78,FUN_0042ba78,,,198,1,0,0,0,0,0,0,0,thunk,wraps FUN_00432fc0,7.96
0x0042bb70,FUN_0042bb70,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x0042bc88,FUN_0042bc88,script_step_c,game/script,1230,2,0,0,0,1,0,8,0,,,35.6
0x0042bd70,FUN_0042bd70,,,134,1,0,0,0,0,0,1,0,thunk,wraps FUN_00108ee8,6.68
0x0042bd98,FUN_0042bd98,,,144,1,0,0,0,0,0,0,0,thunk,wraps FUN_0042f100,6.88
0x0042bdb8,FUN_0042bdb8,,,144,0,1,0,0,0,0,0,0,thunk,wraps FUN_004318c0,3.88
0x0042bde0,FUN_0042bde0,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x0042bfa8,FUN_0042bfa8,,,363,0,0,0,0,1,0,0,0,other,simd/vu0,10.26
0x0042c1c8,FUN_0042c1c8,,,242,0,1,0,0,1,0,0,0,other,simd/vu0,8.84
0x0042c1e8,FUN_0042c1e8,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x0042c238,FUN_0042c238,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x0042c280,FUN_0042c280,,,299,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,5.98
0x0042c5c0,FUN_0042c5c0,,,214,0,0,1,0,1,0,0,0,other,simd/vu0,10.28
0x0042c620,FUN_0042c620,,,244,1,0,0,2,0,0,1,0,thunk,wraps FUN_0043cb00,13.88
0x0042c660,FUN_0042c660,,,214,0,0,1,0,1,0,0,0,other,simd/vu0,10.28
0x0042c740,FUN_0042c740,,,363,0,0,0,0,1,0,0,0,other,simd/vu0,10.26
0x0042c848,FUN_0042c848,,,299,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,5.98
0x0042cac8,FUN_0042cac8,,,339,1,0,0,0,1,0,0,0,other,simd/vu0,13.78
0x0042cb00,FUN_0042cb00,,,309,0,0,0,0,1,0,0,0,other,simd/vu0,9.18
0x0042cd18,FUN_0042cd18,,,298,0,0,0,0,1,0,0,0,other,simd/vu0,8.96
0x0042ce18,FUN_0042ce18,,,215,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.3
0x0042cfe0,FUN_0042cfe0,,,243,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.86
0x0042d3d0,FUN_0042d3d0,,,215,0,0,0,0,1,0,0,0,other,simd/vu0,7.3
0x0042d680,FUN_0042d680,,,242,1,0,0,0,1,0,0,0,other,simd/vu0,11.84
0x0042d6b0,FUN_0042d6b0,,,144,1,0,0,0,0,0,0,0,thunk,wraps FUN_00431390,6.88
0x0042d708,FUN_0042d708,,,260,1,1,0,0,1,0,0,0,other,simd/vu0,13.2
0x0042d770,FUN_0042d770,,,308,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,6.16
0x0042f100,FUN_0042f100,,,144,0,1,2,0,0,0,0,0,thunk,wraps FUN_0042e1f0,9.88
0x0042f130,FUN_0042f130,,,162,1,1,0,0,0,0,0,0,struct_op,field assignment/read mix,8.24
0x0042f158,FUN_0042f158,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x0042f638,FUN_0042f638,,,222,1,0,0,0,0,0,0,0,thunk,wraps FUN_0042f660,8.44
0x0042f660,FUN_0042f660,strtok_save_state,core/strings,1314,0,0,1,0,0,4,8,0,,,35.28
0x0042f750,FUN_0042f750,,,243,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.86
0x0042fb10,FUN_0042fb10,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x0042fd98,FUN_0042fd98,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x00430000,FUN_00430000,,,308,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,6.16
0x00430748,FUN_00430748,,,230,0,0,0,0,1,0,0,0,other,simd/vu0,7.6
0x004311f0,FUN_004311f0,heap_stats,core/mem,677,0,0,1,6,0,2,0,0,,,34.54
0x004312a0,FUN_004312a0,,,344,2,0,1,0,0,0,0,0,struct_op,field assignment/read mix,17.88
