address,hub,direction,distance,peer
0x00129310,,-,1000000000,0
0x00129420,,-,1000000000,0
0x001294c0,,-,1000000000,0
0x00129540,,-,1000000000,0
0x00129590,0x004ba240,upstream,1,0
0x001295e0,0x004ba240,upstream,1,0
0x00129660,,-,1000000000,0
0x001296c0,,-,1000000000,0
0x00129900,,-,1000000000,0
0x00129930,0x004ba240,upstream,1,0
0x00129990,,-,1000000000,0
0x00129ca0,,-,1000000000,0
0x00129cb0,0x004ba240,upstream,1,0
0x00129d00,0x00428df8,upstream,1,0
0x0012a360,0x00428df8,upstream,1,0
0x0012afc0,,-,1000000000,0
0x0012b000,0x00512ee0,upstream,2,0
0x0012b090,0x004ba240,upstream,1,0
0x0012b100,,-,1000000000,0
0x0012b170,,-,1000000000,0
0x0012b1c0,0x0043fb68,upstream,3,0
0x0012b270,0x0043fb68,upstream,2,0
0x0012b560,,-,1000000000,0
0x0012b6b0,0x0043fb68,upstream,2,0
0x0012b7a0,0x0043fb68,upstream,2,0
0x0012b8f0,0x0043fb68,upstream,2,0
0x0012b940,0x00512ee0,upstream,1,0
0x0012bc50,,-,1000000000,0
0x0012bda0,,-,1000000000,0
0x0012bea0,0x00512ee0,upstream,2,0
0x0012bf00,0x00512ee0,upstream,2,0
0x0012bf60,0x00512ee0,upstream,2,0
0x0012bfb0,0x00512ee0,upstream,2,0
0x0012c150,0x00512ee0,upstream,2,0
0x0012c1f0,,-,1000000000,0
0x0012c220,0x00512ee0,upstream,1,0
0x0012c300,,-,1000000000,0
0x0012c360,0x0043fb68,upstream,2,0
0x0012c400,,-,1000000000,0
0x0012c500,0x0026d230,upstream,1,0
0x0012c650,,-,1000000000,0
0x0012c800,,-,1000000000,0
0x0012ca80,,-,1000000000,0
0x0012cad0,0x004ba240,upstream,1,0
0x0012cb20,,-,1000000000,0
0x0012cb60,,-,1000000000,0
0x0012cc60,,-,1000000000,0
0x0012cca0,,-,1000000000,0
0x0012ccc0,,-,1000000000,0
0x0012cd70,,-,1000000000,0
0x0012ce60,,-,1000000000,0
0x0012cf50,,-,1000000000,0
0x0012d040,,-,1000000000,0
0x0012d150,,-,1000000000,0
0x0012d220,,-,1000000000,0
0x0012d270,,-,1000000000,0
0x0012d2d0,,-,1000000000,0
0x0012d460,,-,1000000000,0
0x0012d570,,-,1000000000,0
0x0012d5c0,,-,1000000000,0
0x0012d660,0x00511940,upstream,4,0
0x0012d7f0,0x004ba240,upstream,1,0
