caller,callee,a0,a1,a2,a3
0x00479d20,0x00477c70,int,own_a1,own_a2,own_a3
0x0047ab38,0x0047aa58,int,own_a1,own_a2,own_a3
0x0047c6a0,0x0047c068,own_a0,int,own_a2,own_a3
0x0047c738,0x0047c068,own_a0,int,own_a2,own_a3
0x0047ca18,0x0047c068,own_a0,int,own_a2,own_a3
0x0047ca58,0x0047c068,own_a0,int,own_a2,own_a3
0x0047e140,0x0047d8c8,own_a0,int,own_a2,own_a3
0x0047e1d8,0x0047d8c8,own_a0,int,own_a2,own_a3
0x0047e4a8,0x0047d8c8,own_a0,int,own_a2,own_a3
0x0047e4e8,0x0047d8c8,own_a0,int,own_a2,own_a3
0x0047f9f8,0x0047fe50,int,own_a1,own_a2,own_a3
0x0047fa28,0x0047fe50,int,own_a1,own_a2,own_a3
0x0047fae8,0x0047fe50,int,own_a1,own_a2,own_a3
0x0047fae8,0x0047fe50,int,own_a1,int,own_a3
0x0047fb80,0x0047fe50,int,own_a1,own_a2,own_a3
0x0047fb80,0x0047fe50,int,own_a1,int,own_a3
0x0047fc18,0x0047fe50,int,own_a1,own_a2,own_a3
0x0047fc18,0x0047fe50,int,own_a1,int,own_a3
0x0047fd18,0x0047fe50,int,own_a1,own_a2,own_a3
0x0049fcd8,0x00473ef0,own_a0,own_a1,own_a2,own_a3
0x004ac8b8,0x00464130,own_a0,own_a1,own_a2,own_a3
0x004b98e8,0x00429370,own_a0,int,own_a2,own_a3
0x004b9928,0x00429370,own_a0,int,own_a2,own_a3
0x004fc100,0x0051ee30,own_a0,ptr,own_a2,own_a3
0x004fc150,0x0051ee30,own_a0,ptr,own_a2,own_a3
0x004fc1a0,0x0051ee30,own_a0,ptr,own_a2,own_a3
0x004fc1f0,0x0051ee30,own_a0,ptr,own_a2,own_a3
0x004fc240,0x0051ee30,own_a0,ptr,own_a2,own_a3
0x004fdc60,0x00428c50,own_a0,int,own_a2,own_a3
0x00508ec0,0x00511940,own_a0,own_a1,own_a2,own_a3
0x0050a380,0x00511940,ptr,own_a1,own_a2,own_a3
0x00512da0,0x00512840,own_a0,own_a1,own_a2,own_a3
0x00512da0,0x00512910,own_a0,own_a1,own_a2,own_a3
0x00512da0,0x005127a0,own_a0,own_a1,own_a2,own_a3
0x005137f0,0x00511940,own_a0,own_a1,own_a2,own_a3
0x00513f30,0x004f25a0,own_a0,own_a1,own_a0,own_a3
0x0051d6e0,0x0051d330,own_a0,int,own_a2,own_a3
