address,name,status,symboled,module,score,leaf_hint,body_bytes,cop2,loops,globals,return_kind,confidence,args,labels,callers,callees,calls_real,stub_frontier,conflicts,hub,hub_dir
0x0045d6f0,FUN_0045d6f0,real_logic,False,-,8.44,setter,172,0,0,2,int,0.55,a0=ptr;a1=ptr;a2=int;a3=-,a0=Unknown_a0_0|a1=Unknown_a1_0|a2=int|ret=int,0,0,0,,0,,
0x0042f130,FUN_0042f130,real_logic,False,-,8.24,struct_op,162,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,2,2,1,0x003fb8d0,0,0x004287e0,upstream
0x00154d50,FUN_00154d50,real_logic,False,-,7.96,convert,323,0,1,0,ptr,0.65,a0=int;a1=ptr;a2=int;a3=int,a0=int|a1=ptr|a2=int|a3=int|ret=ptr,0,0,0,,1,,-
0x0042ba78,FUN_0042ba78,real_logic,False,-,7.96,thunk,198,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,1,0x00429068,upstream
0x00161de0,FUN_00161de0,real_logic,False,-,7.66,other,233,1,0,0,ptr,0.70,a0=ptr;a1=ptr;a2=ptr;a3=int,a0=Unknown_a0_0|a1=Unknown_a1_0_10_14_18|a2=Unknown_a2_0_4_8|a3=int|ret=ptr,0,0,0,,1,,-
0x00430748,FUN_00430748,real_logic,False,-,7.6,other,230,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x0042d3d0,FUN_0042d3d0,real_logic,False,-,7.3,other,215,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,1,,-
0x00120750,FUN_00120750,real_logic,False,-,7.28,other,214,1,0,0,void,0.55,a0=ptr;a1=-;a2=-;a3=-,a0=Unknown_a0_0|a1=Unknown_a1_0|a2=Unknown_a2_0|a3=Unknown_a3_20,0,0,0,,4,,-
0x001207c0,FUN_001207c0,real_logic,False,-,7.28,other,214,1,0,0,void,0.55,a0=ptr;a1=-;a2=-;a3=-,a0=Unknown_a0_0|a1=Unknown_a0_38|a2=Unknown_a2_0|a3=ptr,0,0,0,,5,,-
0x00136110,FUN_00136110,real_logic,False,-,7.28,other,214,1,0,0,void,0.60,a0=ptr;a1=w;a2=-;a3=-,a0=ptr|a1=ptr|a2=ptr|a3=int,0,0,0,,3,,-
0x00423d80,FUN_00423d80,real_logic,False,-,7.28,other,214,1,0,0,void,0.60,a0=ptr;a1=int;a2=int;a3=int,a0=ptr|a1=int|a2=int|a3=int,0,0,0,,0,,-
0x00429820,FUN_00429820,real_logic,False,-,7.28,other,214,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x004298e0,FUN_004298e0,real_logic,False,-,7.28,other,214,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x00429940,FUN_00429940,real_logic,False,-,7.28,other,214,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x00429b08,FUN_00429b08,real_logic,False,-,7.28,other,214,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,0x00428998,upstream
