address,name,module,status,arg,label,provenance,confidence,hops,vias
0x00104390,0x00104390,,stub_code,a2,int,DIRECT,0.50,2,-;0x001036b0->0x00104390;0x00424d70->0x00104390;0x00425860->0x00104390;0x00425c30->0x00104390
0x00104390,0x00104390,,stub_code,a3,int,DIRECT,0.50,3,-;0x001036b0->0x00104390;0x00424d70->0x00104390;0x004254f0->0x00104390;0x00425c30->0x00104390
0x00104390,0x00104390,,stub_code,ret,ptr,DIRECT,0.70,0,-
0x00104570,0x00104570,,stub_code,a0,int,DIRECT,0.50,1,-;0x00104390->0x00104570
0x00104570,0x00104570,,stub_code,a1,ptr,STRUCT_FIELD,0.55,0,-
0x00104570,0x00104570,,stub_code,a2,int,DIRECT,0.50,0,-
0x00104570,0x00104570,,stub_code,a3,int,DIRECT,0.50,4,-;0x00104390->0x00104570
0x00104570,0x00104570,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00104940,0x00104940,,stub_code,a0,int,DIRECT,0.50,1,-;0x00426110->0x00104940
0x00104940,0x00104940,,stub_code,a1,int,DIRECT,0.50,1,-;0x00426110->0x00104940
0x00104940,0x00104940,,stub_code,a2,int,DIRECT,0.50,2,-;0x00104570->0x00104940;0x00423b80->0x00104940;0x00426110->0x00104940
0x00104940,0x00104940,,stub_code,a3,int,DIRECT,0.50,5,-;0x00104570->0x00104940;0x00423b80->0x00104940;0x00426110->0x00104940
0x00104940,0x00104940,,stub_code,ret,ptr,DIRECT,0.70,0,-
0x001049f0,0x001049f0,,,a0,int,CALL_PROPAGATED,0.42,1,0x00104390->0x001049f0
0x001049f0,0x001049f0,,,a1,ptr,HEURISTIC,0.40,0,0x00104390->0x001049f0
0x001049f0,0x001049f0,,,a2,int,HEURISTIC,0.40,0,0x00104390->0x001049f0
0x001049f0,0x001049f0,,,a3,int,CALL_PROPAGATED,0.42,4,0x00104390->0x001049f0
0x00104b90,0x00104b90,,stub_code,a0,ptr,STRUCT_FIELD,0.55,0,-
0x00104b90,0x00104b90,,stub_code,a1,int,DIRECT,0.50,0,-
0x00104b90,0x00104b90,,stub_code,a2,int,DIRECT,0.50,2,-;0x001036b0->0x00104b90;0x00426730->0x00104b90
0x00104b90,0x00104b90,,stub_code,a3,int,DIRECT,0.50,3,-;0x001036b0->0x00104b90;0x00426730->0x00104b90
0x00104b90,0x00104b90,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00104cc0,FUN_00104cc0,,pseudo_stub,a0,ptr,STRUCT_FIELD,0.55,0,-
0x00104cc0,FUN_00104cc0,,pseudo_stub,a1,int,DIRECT,0.50,0,-
0x00104cc0,FUN_00104cc0,,pseudo_stub,a2,int,DIRECT,0.50,2,-;0x001036b0->0x00104cc0
0x00104cc0,FUN_00104cc0,,pseudo_stub,a3,int,DIRECT,0.50,3,-;0x001036b0->0x00104cc0
0x00104cc0,FUN_00104cc0,,pseudo_stub,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00105010,0x00105010,,stub_code,a0,int,DIRECT,0.50,0,-
0x00105010,0x00105010,,stub_code,a1,int,DIRECT,0.50,0,-
0x00105010,0x00105010,,stub_code,a2,int,DIRECT,0.50,0,-
0x00105010,0x00105010,,stub_code,a3,int,DIRECT,0.50,0,-
0x00105010,0x00105010,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00105100,0x00105100,,stub_code,a0,ptr,STRUCT_FIELD,0.55,1,-;0x00104cc0->0x00105100
0x00105100,0x00105100,,stub_code,a1,int,DIRECT,0.50,1,-;0x00104cc0->0x00105100
0x00105100,0x00105100,,stub_code,a2,int,DIRECT,0.50,3,-;0x001036b0->0x00105100;0x00104cc0->0x00105100
0x00105100,0x00105100,,stub_code,a3,int,DIRECT,0.50,4,-;0x001036b0->0x00105100;0x00104cc0->0x00105100
0x00105100,0x00105100,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x001053d0,0x001053d0,,stub_code,a0,int,DIRECT,0.50,0,-
0x001053d0,0x001053d0,,stub_code,a1,int,DIRECT,0.50,1,-;0x002ee930->0x001053d0
0x001053d0,0x001053d0,,stub_code,a2,int,DIRECT,0.50,1,-;0x002ee930->0x001053d0
0x001053d0,0x001053d0,,stub_code,a3,int,DIRECT,0.50,1,-;0x002ee930->0x001053d0
0x001053d0,0x001053d0,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00105530,0x00105530,,stub_code,a0,Unknown_a0_3a4,DIRECT,0.75,0,-
0x00105530,0x00105530,,stub_code,a1,int,DIRECT,0.50,0,-
0x00105530,0x00105530,,stub_code,a2,int,DIRECT,0.50,0,-
0x00105530,0x00105530,,stub_code,a3,int,DIRECT,0.50,2,-;0x001053d0->0x00105530
0x00105530,0x00105530,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x001057e0,0x001057e0,,stub_code,a0,Unknown_a0_3a8,DIRECT,0.75,0,-
0x001057e0,0x001057e0,,stub_code,a1,int,DIRECT,0.50,0,-
0x001057e0,0x001057e0,,stub_code,a2,int,DIRECT,0.50,0,-
0x001057e0,0x001057e0,,stub_code,a3,int,DIRECT,0.50,0,-
0x001057e0,0x001057e0,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00105940,0x00105940,,stub_code,a0,int,DIRECT,0.50,0,-
0x00105940,0x00105940,,stub_code,a1,int,DIRECT,0.50,0,-
0x00105940,0x00105940,,stub_code,a2,int,DIRECT,0.50,0,-
0x00105940,0x00105940,,stub_code,a3,int,DIRECT,0.50,0,-
0x00105940,0x00105940,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
